target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
argus-scaling3,argus,Q11,csv,32,3,2573,0.0,42.395,0.751658,0.805805,0.620348,2995699.1,0.5,True,24
argus-scaling3,argus,Q11,csv,8,1,2430,0.0,40.381,0.19603,0.224016,0.024548,2996508.2,0.65,False,24
argus-scaling3,argus,Q11,csv,8,2,2429,0.0,40.368,0.195718,0.22397,0.024754,2995103.8,0.635,False,24
argus-scaling3,argus,Q11,csv,8,3,2426,0.0,40.333,0.195751,0.225237,0.024182,2995834.5,0.65,False,24
argus-scaling3,argus,Q13,csv,32,1,1298,0.0,21.181,1.503838,1.679216,1.676361,2263.8,0.03,True,24
argus-scaling3,argus,Q13,csv,32,2,1295,0.0,21.035,1.50406,1.692899,1.688619,2264.3,0.03,True,24
argus-scaling3,argus,Q13,csv,32,3,1299,0.0,21.131,1.500657,1.682706,1.67885,2264.3,0.03,True,24
argus-scaling3,argus,Q13,csv,8,1,1264,0.0,20.908,0.371969,0.503427,0.50092,2263.9,0.03,True,24
argus-scaling3,argus,Q13,csv,8,2,1245,0.0,20.631,0.377381,0.516311,0.513852,2264.7,0.025,True,24
argus-scaling3,argus,Q13,csv,8,3,1266,0.0,20.989,0.374144,0.485937,0.483528,2264.3,0.035,True,24
argus-scaling3,argus,mix,csv,32,1,1920,0.0,31.506,1.036416,1.361594,1.3584,43071.4,0.035,True,24
argus-scaling3,argus,mix,csv,32,2,1852,0.0,30.306,1.085098,1.438457,1.434636,43690.2,0.045,True,24
argus-scaling3,argus,mix,csv,32,3,1940,0.0,31.736,1.031237,1.333657,1.331134,43209.8,0.035,True,24
argus-scaling3,argus,mix,csv,8,1,1745,0.0,28.896,0.391668,0.537191,0.534344,41347.7,0.045,True,24
argus-scaling3,argus,mix,csv,8,2,1868,0.0,30.965,0.388653,0.424842,0.42203,43718.1,0.05,True,24
argus-scaling3,argus,mix,csv,8,3,1929,0.0,31.949,0.382237,0.425858,0.422441,44734.1,0.045,True,24
argus-scaling3,argus,Q01,votable,32,1,51222,0.0,853.195,0.036838,0.043386,0.035885,2254.0,0.58,True,24
argus-scaling3,argus,Q01,votable,32,2,51432,0.0,856.801,0.036473,0.042846,0.035473,2254.0,0.58,True,24
argus-scaling3,argus,Q01,votable,32,3,51355,0.0,855.496,0.036744,0.043192,0.03582,2254.0,0.585,True,24
argus-scaling3,argus,Q01,votable,8,1,32585,0.0,542.977,0.014444,0.017307,0.01401,2254.0,0.43,True,24
argus-scaling3,argus,Q01,votable,8,2,32695,0.0,544.584,0.0144,0.017189,0.013915,2254.0,0.42,True,24
argus-scaling3,argus,Q01,votable,8,3,32422,0.0,540.242,0.014531,0.017373,0.013999,2254.0,0.425,True,24
argus-scaling3,argus,Q05,votable,32,1,1133,0.0,18.262,1.699605,1.94548,1.942297,8136.4,0.03,True,24
